macPrefix,vendor,OS_family
5C:66:6C,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
DC:31:D1,"vivo Mobile Communication Co., Ltd.",android
50:D2:F5,"Beijing Xiaomi Mobile Software Co., Ltd",android
80:8A:8B,"vivo Mobile Communication Co., Ltd.",android
D8:A3:15,"vivo Mobile Communication Co., Ltd.",android
3C:86:D1,"vivo Mobile Communication Co., Ltd.",android
18:D0:C5,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
A4:C9:39,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
5C:E5:0C,"Beijing Xiaomi Mobile Software Co., Ltd",android
E8:5A:8B,Xiaomi Communications Co Ltd,android
E0:1F:88,Xiaomi Communications Co Ltd,android
20:31:1C,"vivo Mobile Communication Co., Ltd.",android
9C:F5:31,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
6C:24:A6,"vivo Mobile Communication Co., Ltd.",android
9C:5F:5A,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
B8:7B:C5,"Apple, Inc.",macos
40:70:F5,"Apple, Inc.",macos
B0:35:B5,"Apple, Inc.",macos
80:0C:67,"Apple, Inc.",macos
90:81:2A,"Apple, Inc.",macos
14:87:6A,"Apple, Inc.",macos
E0:B5:5F,"Apple, Inc.",macos
F8:FF:C2,"Apple, Inc.",macos
E0:EB:40,"Apple, Inc.",macos
28:77:F1,"Apple, Inc.",macos
F0:A3:5A,"Apple, Inc.",macos
60:83:73,"Apple, Inc.",macos
84:AD:8D,"Apple, Inc.",macos
74:42:8B,"Apple, Inc.",macos
3C:22:FB,"Apple, Inc.",macos
7C:A1:AE,"Apple, Inc.",macos
F0:78:07,"Apple, Inc.",macos
08:2C:B6,"Apple, Inc.",macos
F8:4E:73,"Apple, Inc.",macos
3C:CD:36,"Apple, Inc.",macos
A4:4B:D5,Xiaomi Communications Co Ltd,android
